,fecha_obs_dias,t_obs_s,cuentas
0,16.089836668840938,10.0,14749
1,32.179673337681876,10.0,7381
2,48.269510006522815,10.0,3651
3,64.35934667536375,10.0,1843
4,80.4491833442047,10.0,923
